"Country","Year","Income_per_person","Life_Expectancy","Total_Health_Spending_Per_Person","Government_Health_Spending_Per_Person","Breast_Cancer_Death","Cervical_Cancer_Death","Lung_Cancer_Death_Male","Lung_Cancer_Death_Female","Lung_Cancer_Death","Liver_Cancer_Death_Male","Liver_Cancer_Death_Female","Liver_Cancer_Death","Prostate_Cancer_Death","Stomach_Cancer_Death_Male","Stomach_Cancer_Death_Female","Stomach_Cancer_Death","Food_Supply","Improved_Water"
"Botswana","1971",499.0292165,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2080.51,NA
"Brazil","1971",2160.353035,60.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2432.58,NA
"British Virgin Islands","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei","1971",NA,67.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2249.48,NA
"Bulgaria","1971",NA,70.93,NA,NA,10.88,2.53,36.68,5.75,42.43,NA,NA,NA,6.36,32.51,19.09,51.6,3545.16,NA
"Burkina Faso","1971",136.1258478,40.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1711.67,NA
"Burundi","1971",151.6801577,42.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2127.16,NA
"Cambodia","1971",NA,41.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2109.67,NA
"Cameroon","1971",458.0784442,49.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2197.19,NA
"Canada","1971",13320.19496,72.91,NA,NA,23.43,5.36,41.82,6.49,48.31,NA,NA,NA,14.28,14.44,6.72,21.16,2890.33,NA
"Cape Verde","1971",NA,54.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1741.78,NA
"Cayman Islands","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic","1971",351.2215257,44.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2345.38,NA
"Chad","1971",216.6275841,46.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999.39,NA
"Channel Islands","1971",NA,71.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","1971",2356.71427,62.34,NA,NA,11.69,14.9,17.26,5.11,22.37,NA,NA,NA,10.21,55.82,30.69,86.51,2710.01,NA
"China","1971",127.3050316,62.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1894.32,NA
"Christmas Island","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cocos Island","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","1971",1538.557978,63.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018.75,NA
"Comoros","1971",NA,49.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967.66,NA
"Congo, Dem. Rep.","1971",342.1479552,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2270.03,NA
"Congo, Rep.","1971",735.6879567,53.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1940.09,NA
"Cook Is","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica","1971",2471.677527,67.86,NA,NA,6.63,8.74,4.84,4.02,8.86,NA,NA,NA,6.13,39.87,23.23,63.1,2312.14,NA
"Cote d'Ivoire","1971",894.1228027,46.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2598.63,NA
"Croatia","1971",NA,68.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba","1971",1896.658918,70.34,NA,NA,13.13,5.29,39.17,13.67,52.84,NA,NA,NA,15.33,13,6.22,19.22,2748.12,NA
"Cyprus","1971",NA,72.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3085.41,NA
"Czech Republic","1971",NA,69.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czechoslovakia","1971",NA,NA,NA,NA,16.1,5.57,63.54,5.35,68.89,NA,NA,NA,9.92,36.13,17.78,53.91,3355.05,NA
"Denmark","1971",16768.1407,73.55,NA,NA,25.7,10.4,44.27,9.26,53.53,NA,NA,NA,13.67,16.36,8.76,25.12,3188.4,NA
"Djibouti","1971",NA,52.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1705.52,NA
"Dominica","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.38,NA
"Dominican Republic","1971",1265.428417,61.47,NA,NA,2.34,3.12,4.13,3.02,7.15,NA,NA,NA,6.18,5.43,2.56,7.99,1958.66,NA
"East Germany","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador","1971",959.7221622,59.67,NA,NA,3.03,3.48,3.92,1.75,5.67,NA,NA,NA,4.23,17.89,11.75,29.64,2013.95,NA
"Egypt","1971",572.2625856,52.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2311.72,NA
"El Salvador","1971",1882.638983,57.85,NA,NA,1.42,5.1,1.01,0.92,1.93,NA,NA,NA,1.73,5.06,5.2,10.26,1810.17,NA
"Equatorial Guinea","1971",NA,41.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eritrea","1971",NA,43.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","1971",NA,70.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethiopia","1971",NA,42.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1663.5,NA
"Faeroe Islands","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Falkland Is (Malvinas)","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiji","1971",1446.874725,59.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2545.77,NA
"Finland","1971",11252.69389,70.22,NA,NA,15,5.12,70.21,4.31,74.52,NA,NA,NA,15.4,30.16,14.44,44.6,3137.76,NA
"France","1971",12093.53183,72.27,NA,NA,17.68,2.66,32.46,3.46,35.92,NA,NA,NA,15.22,17.72,8.02,25.74,3283.99,NA
"French Guiana","1971",NA,65.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"French Polynesia","1971",9342.465124,60.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2834.83,NA
"Gabon","1971",3519.175744,46.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2208.29,NA
"Gambia","1971",520.9586923,44.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2344.44,NA
"Georgia","1971",1207.528413,67.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany","1971",12245.52367,70.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3173.62,NA
"Ghana","1971",301.3660271,50.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2294.57,NA
"Gibraltar","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece","1971",7181.133651,71.53,NA,NA,9.77,0.87,31.84,5,36.84,NA,NA,NA,5.87,13.28,7.8,21.08,3171.19,NA
"Greenland","1971",10272.25482,65.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grenada","1971",NA,64.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2198.78,NA
"Guadeloupe","1971",NA,65.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guam","1971",NA,66.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala","1971",1285.644381,54.27,NA,NA,2.13,0.27,1.53,1.52,3.05,NA,NA,NA,2.04,14.09,9.9,23.99,1998.07,NA
"Guernsey","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","1971",NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2239.88,NA
"Guinea-Bissau","1971",162.8575584,45.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1857.22,NA
"Guyana","1971",770.8807193,60.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2278.01,NA
"Haiti","1971",NA,47.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868.53,NA
"Holy See","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","1971",900.2990729,55.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2032.7,NA
"Hong Kong, China","1971",6810.928135,72.25,NA,NA,9.41,8.56,40.12,20.98,61.1,NA,NA,NA,2.36,18.57,7.85,26.42,NA,NA
"Hungary","1971",2549.367584,69.19,NA,NA,17.64,6.2,43.08,7.85,50.93,NA,NA,NA,15.07,39.96,20.18,60.14,3314.71,NA
"Iceland","1971",15311.96879,73.75,NA,NA,23.94,8,10,11.23,21.23,NA,NA,NA,16.08,35.15,8.92,44.07,2951.14,NA
"India","1971",214.8322477,49.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986.08,NA
"Indonesia","1971",243.0840361,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919.15,NA
"Iran","1971",1583.05701,53.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019.87,NA
"Iraq","1971",NA,57.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","1971",7544.702546,72.5,NA,NA,25.14,3.37,40.23,11.44,51.67,NA,NA,NA,13.25,22.27,14.39,36.66,3488,NA
"Isle of Man","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Israel","1971",10387.552,71.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3250.73,NA
"Italy","1971",9629.859059,71.87,NA,NA,17.92,1.54,38.63,4.55,43.18,NA,NA,NA,10.01,29.33,14.41,43.74,3435.55,NA
"Jamaica","1971",3389.612267,71.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2561.63,NA
"Japan","1971",17210.26629,72.87,NA,NA,4.57,2.45,16.56,5.19,21.75,NA,NA,NA,1.91,61.26,32.32,93.58,2712.97,NA
"Jersey","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan","1971",NA,61.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2239.88,NA
"Kazakhstan","1971",NA,63.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenya","1971",343.7579535,54.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2303.13,NA
"Kiribati","1971",1169.535165,50.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2742.65,NA
"North Korea","1971",NA,59.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2122.51,NA
"South Korea","1971",2113.436576,62.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2898.24,NA
"United Korea (former)
","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kosovo","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuwait","1971",NA,69.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2544.34,NA
"Kyrgyz Republic","1971",NA,60.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lao","1971",NA,44.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015.95,NA
"Latvia","1971",2248.106062,70.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lebanon","1971",NA,65.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2358.57,NA
"Lesotho","1971",184.2238454,49.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2082.33,NA
"Liberia","1971",775.5930142,40.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2454.93,NA
"Libya","1971",NA,60.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2415.51,NA
"Liechtenstein","1971",32495.67745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","1971",NA,72.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg","1971",17762.36885,69.35,NA,NA,22.82,7.78,69.1,3.95,73.05,NA,NA,NA,11.94,21.68,10.72,32.4,NA,NA
"Macao, China","1971",NA,69.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia, FYR","1971",NA,67.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","1971",433.7869909,48.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2615.38,NA
"Malawi","1971",136.7823178,42.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2409.74,NA
"Malaysia","1971",1175.357189,65.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2539.82,NA
"Maldives","1971",NA,48.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1670.66,NA
"Mali","1971",173.5459457,35.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1610.09,NA
"Malta","1971",2124.691745,71.9,NA,NA,26.13,3.39,44.2,3.34,47.54,NA,NA,NA,8.53,22.55,7.85,30.4,3178.88,NA
"Marshall Islands","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martinique","1971",NA,66.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mauritania","1971",611.4916358,50.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963.96,NA
"Mauritius","1971",NA,63.27,NA,NA,4.99,10.88,11.47,3.7,15.17,NA,NA,NA,8.27,29.47,4.79,34.26,2374.2,NA
"Mayotte","1971",NA,62.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico","1971",3513.3859,62.25,NA,NA,4.88,9.06,7.79,3.81,11.6,NA,NA,NA,5.64,9.9,8.42,18.32,2588.66,NA
"Micronesia, Fed. Sts.","1971",NA,60.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova","1971",NA,65.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","1971",52478.16721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia","1971",NA,57.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2203.83,NA
"Montenegro","1971",NA,70.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montserrat","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morocco","1971",809.4451563,54.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2447.55,NA
"Mozambique","1971",NA,44.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1890.32,NA
"Myanmar","1971",NA,50.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985.54,NA
"Namibia","1971",NA,53.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2207.84,NA
"Nauru","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nepal","1971",140.3100327,44.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1776.78,NA
"Netherlands","1971",13154.39029,73.81,NA,NA,27.08,5.41,68.02,3.86,71.88,NA,NA,NA,14.7,22.86,11.29,34.15,3078.28,NA
"New Caledonia","1971",11489.35347,62.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3266.03,NA
"New Zealand","1971",NA,71.8,NA,NA,25.55,5.78,45.99,8.06,54.05,NA,NA,NA,15.17,13.31,6.56,19.87,3024.71,NA
"Ngorno-Karabakh","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicaragua","1971",1692.843461,60.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2046.41,NA
"Niger","1971",315.2349613,38.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987.76,NA
"Nigeria","1971",384.8992407,46.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1855.43,NA
"Niue","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norfolk Island","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Cyprus","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Mariana Islands","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway","1971",15620.75384,74.3,NA,NA,17.35,6.11,19.52,3.86,23.38,NA,NA,NA,19.06,21.13,10.23,31.36,3131.9,NA
"Oman","1971",4170.299973,54.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pakistan","1971",284.5827678,54.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2195.72,NA
"Palau","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panama","1971",2916.337375,67.18,NA,NA,7.12,7.4,8.42,2.04,10.46,NA,NA,NA,6.31,10.3,8.73,19.03,2346.58,NA
"Papua New Guinea","1971",689.9518225,46.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paraguay","1971",798.5748075,69.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2449.41,NA
"Peru","1971",2102.927864,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2235.45,NA
"Philippines","1971",840.6701446,62.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800.66,NA
"Pitcairn","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poland","1971",NA,69.76,NA,NA,11.79,9.36,39.2,5.21,44.41,NA,NA,NA,8.59,38.28,16.06,54.34,3425.93,NA
"Portugal","1971",4936.848301,66.91,NA,NA,15.01,8.2,15.1,3.3,18.4,NA,NA,NA,15.34,38.96,19.79,58.75,3030.98,NA
"Puerto Rico","1971",7327.090483,71.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Qatar","1971",NA,68.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reunion","1971",NA,63.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Romania","1971",NA,68.73,NA,NA,10.6,9.84,28.37,5.31,33.68,NA,NA,NA,8.04,30.67,14.2,44.87,2989.81,NA
"Russia","1971",NA,69.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rwanda","1971",211.5782625,45.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2148,NA
"St. Barth?lemy","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Helena","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Kitts and Nevis","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2028.21,NA
"St. Lucia","1971",NA,63.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026.99,NA
"St. Martin","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Vincent and the Grenadines","1971",1408.201275,65.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2295.11,NA
"St.-Pierre-et-Miquelon","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samoa","1971",NA,57.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2253.16,NA
"San Marino","1971",13238.04809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Tome and Principe","1971",NA,57.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2107.95,NA
"Saudi Arabia","1971",8768.687017,56.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917.01,NA
"Senegal","1971",533.4486604,40.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2208.45,NA
"Serbia","1971",NA,68.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serbia and Montenegro","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serbia excluding Kosovo","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seychelles","1971",2997.725084,65.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2232.27,NA
"Sierra Leone","1971",289.9051539,44.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2152.04,NA
"Singapore","1971",5092.774074,67.75,NA,NA,7.97,9.89,39.2,13.39,52.59,NA,NA,NA,1.08,30.32,12.2,42.52,NA,NA
"Slovak Republic","1971",NA,69.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovenia","1971",NA,69.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solomon Islands","1971",NA,56.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2222.72,NA
"Somalia","1971",NA,43.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somaliland","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","1971",3163.033507,53.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2786.82,NA
"South Ossetia","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","1971",7069.462901,71.79,NA,NA,11.11,0.7,23.26,4.09,27.35,NA,NA,NA,12.31,26.99,14.3,41.29,2771.03,NA
"Sri Lanka","1971",338.0995754,65.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200.7,NA
"Sudan","1971",260.4032822,54.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928.59,NA
"Suriname","1971",NA,65,NA,NA,9.88,6.45,NA,6.14,NA,NA,NA,NA,10.11,NA,NA,NA,2215.87,NA
"Svalbard","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swaziland","1971",637.6003458,49.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2270.61,NA
"Sweden","1971",16612.83045,74.58,NA,NA,19.25,5.05,21.67,5.14,26.81,NA,NA,NA,19.2,17.55,9.62,27.17,2907.23,NA
"Switzerland","1971",NA,73.3,NA,NA,24.61,6.3,43.14,3.77,46.91,NA,NA,NA,18.99,22.33,10.73,33.06,3439.09,NA
"Syria","1971",613.6693973,60.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2452.92,NA
"Taiwan","1971",NA,69.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tajikistan","1971",NA,61.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tanzania","1971",NA,50.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1678.43,NA
"Thailand","1971",530.0656291,60.33,NA,NA,0.7,0.51,2.6,1.04,3.64,NA,NA,NA,0.07,1.21,0.59,1.8,2061.57,NA
"Timor-Leste","1971",NA,45.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1697.39,NA
"Togo","1971",285.8062537,48.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2173.52,NA
"Tokelau","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
